[0.000000] (-) TimerEvent: {}
[0.000218] (-) JobUnselected: {'identifier': 'fri_client_sdk'}
[0.000241] (-) JobUnselected: {'identifier': 'iiwa14_moveit_config'}
[0.000254] (-) JobUnselected: {'identifier': 'iiwa7_moveit_config'}
[0.000261] (-) JobUnselected: {'identifier': 'lbr_bringup'}
[0.000266] (-) JobUnselected: {'identifier': 'lbr_demos_advanced_cpp'}
[0.000270] (-) JobUnselected: {'identifier': 'lbr_demos_advanced_py'}
[0.000275] (-) JobUnselected: {'identifier': 'lbr_demos_cpp'}
[0.000279] (-) JobUnselected: {'identifier': 'lbr_demos_py'}
[0.000283] (-) JobUnselected: {'identifier': 'lbr_dual_arm'}
[0.000286] (-) JobUnselected: {'identifier': 'lbr_dual_arm_moveit_config'}
[0.000290] (-) JobUnselected: {'identifier': 'lbr_fri_idl'}
[0.000294] (-) JobUnselected: {'identifier': 'lbr_fri_ros2'}
[0.000299] (-) JobUnselected: {'identifier': 'lbr_fri_ros2_stack'}
[0.000302] (-) JobUnselected: {'identifier': 'lbr_iiwa14_r820_description'}
[0.000306] (-) JobUnselected: {'identifier': 'lbr_iiwa7_r800_description'}
[0.000310] (-) JobUnselected: {'identifier': 'lbr_med14_r820_description'}
[0.000313] (-) JobUnselected: {'identifier': 'lbr_med7_r800_description'}
[0.000317] (-) JobUnselected: {'identifier': 'lbr_moveit'}
[0.000321] (-) JobUnselected: {'identifier': 'lbr_moveit_cpp'}
[0.000327] (-) JobUnselected: {'identifier': 'lbr_ros2_control'}
[0.000331] (-) JobUnselected: {'identifier': 'med14_moveit_config'}
[0.000335] (-) JobUnselected: {'identifier': 'med7_moveit_config'}
[0.000424] (-) EventReactorShutdown: {}
