[0.007s] Invoking command in '/home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/theo/drift/ros2_ws/install/my_package:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake /home/theo/drift/ros2_ws/src/lbr-stack/src/lbr_iiwa7_r800_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description
[0.058s] -- The C compiler identification is GNU 13.3.0
[0.081s] -- The CXX compiler identification is GNU 13.3.0
[0.097s] -- Detecting C compiler ABI info
[0.149s] -- Detecting C compiler ABI info - done
[0.160s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.165s] -- Detecting C compile features
[0.165s] -- Detecting C compile features - done
[0.173s] -- Detecting CXX compiler ABI info
[0.240s] -- Detecting CXX compiler ABI info - done
[0.253s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.253s] -- Detecting CXX compile features
[0.253s] -- Detecting CXX compile features - done
[0.257s] -- Found ament_cmake: 2.5.5 (/opt/ros/jazzy/share/ament_cmake/cmake)
[0.361s] -- Found Python3: /usr/bin/python3 (found version "3.12.3") found components: Interpreter 
[0.407s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.550s] -- Configuring done (0.5s)
[0.555s] -- Generating done (0.0s)
[0.561s] -- Build files have been written to: /home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description
[0.569s] Invoked command in '/home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/theo/drift/ros2_ws/install/my_package:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake /home/theo/drift/ros2_ws/src/lbr-stack/src/lbr_iiwa7_r800_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description
[0.569s] Invoking command in '/home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/theo/drift/ros2_ws/install/my_package:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description -- -j4 -l4
[0.628s] Invoked command in '/home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/theo/drift/ros2_ws/install/my_package:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description -- -j4 -l4
[0.638s] Invoking command in '/home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/theo/drift/ros2_ws/install/my_package:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/theo/drift/ros2_ws/src/lbr-stack/build/lbr_iiwa7_r800_description
[0.646s] -- Install configuration: ""
[0.647s] -- Execute custom install script
[0.647s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/config/joint_limits.yaml
[0.661s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/launch/view_robot.launch.py
[0.669s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_0.stl
[0.677s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_1.stl
[0.680s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_2.stl
[0.690s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_3.stl
[0.697s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_4.stl
[0.702s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_5.stl
[0.727s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_6.stl
[0.735s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/collision/link_7.stl
[0.745s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_0.dae
[0.751s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_1.dae
[0.755s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_2.dae
[0.759s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_3.dae
[0.763s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_4.dae
[0.770s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_5.dae
[0.775s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_6.dae
[0.778s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/meshes/visual/link_7.dae
[0.781s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/rviz/view_robot.rviz
[0.786s] -- Symlinking: /home/theo/drift/ros2_ws/src/lbr-stack/install/lbr_iiwa7_r800_description/share/lbr_iiwa7_r800_description/urdf/lbr_iiwa7_r800.urdf.xacro
