[0.000000] (-) TimerEvent: {}
[0.000291] (-) JobUnselected: {'identifier': 'fri_client_sdk'}
[0.000307] (-) JobUnselected: {'identifier': 'iiwa14_moveit_config'}
[0.000314] (-) JobUnselected: {'identifier': 'iiwa7_moveit_config'}
[0.000319] (-) JobUnselected: {'identifier': 'lbr_bringup'}
[0.000324] (-) JobUnselected: {'identifier': 'lbr_demos_advanced_cpp'}
[0.000329] (-) JobUnselected: {'identifier': 'lbr_demos_advanced_py'}
[0.000334] (-) JobUnselected: {'identifier': 'lbr_demos_cpp'}
[0.000338] (-) JobUnselected: {'identifier': 'lbr_demos_py'}
[0.000342] (-) JobUnselected: {'identifier': 'lbr_dual_arm'}
[0.000346] (-) JobUnselected: {'identifier': 'lbr_dual_arm_moveit_config'}
[0.000359] (-) JobUnselected: {'identifier': 'lbr_fri_idl'}
[0.000365] (-) JobUnselected: {'identifier': 'lbr_fri_ros2'}
[0.000369] (-) JobUnselected: {'identifier': 'lbr_fri_ros2_stack'}
[0.000373] (-) JobUnselected: {'identifier': 'lbr_iiwa14_r820_description'}
[0.000377] (-) JobUnselected: {'identifier': 'lbr_iiwa7_r800_description'}
[0.000381] (-) JobUnselected: {'identifier': 'lbr_med14_r820_description'}
[0.000386] (-) JobUnselected: {'identifier': 'lbr_med7_r800_description'}
[0.000390] (-) JobUnselected: {'identifier': 'lbr_moveit'}
[0.000395] (-) JobUnselected: {'identifier': 'lbr_moveit_cpp'}
[0.000401] (-) JobUnselected: {'identifier': 'lbr_ros2_control'}
[0.000405] (-) JobUnselected: {'identifier': 'med14_moveit_config'}
[0.000409] (-) JobUnselected: {'identifier': 'med7_moveit_config'}
[0.000553] (-) EventReactorShutdown: {}
